Gene ID	normal_1656639	neoplasm_1656641	normal_1656634	normal_1656636	normal_1656635	neoplasm_1656647	neoplasm_1656645	normal_1656638	normal_1656637	neoplasm_1656646	neoplasm_1656642	neoplasm_1656644	neoplasm_1656643	normal_1656640
ENSG00000006788	1	5	0	3	0	1	1	3	13	1	0	9	0	2
ENSG00000006831	2780	949	4025	4247	4140	1576	962	5242	3904	1144	1161	720	2771	3919
ENSG00000006837	16	22	12	10	1	20	23	9	62	21	13	25	23	5
ENSG00000007001	94	10	2402	43	144	4	27	66	268	7	50	11	3	315
ENSG00000007038	10	0	1	8	6	0	0	0	12	6	1295	4	0	0
ENSG00000007047	514	470	628	1095	696	723	571	609	1183	600	439	437	666	815
ENSG00000007062	96	525	358	87	181	2566	80	86	215	3144	260	1852	5070	154
ENSG00000007080	691	434	742	606	533	853	748	613	1116	481	809	584	551	858
ENSG00000007129	52	37	38	39	27	20	12	27	72	14	26	27	5	73
ENSG00000007168	1593	2482	2582	2331	1944	2089	1821	1655	2021	2460	2288	1962	2337	2362
ENSG00000007171	5	75	6	9	22	10	2	3	16	14	9	18	21	31
ENSG00000007174	12	40	8	1	3	3	3	3	13	67	2	47	30	5
ENSG00000007202	1731	1903	1406	1414	1571	2683	2005	1378	1649	2324	2245	1174	2110	1414
ENSG00000007216	29	0	58	29	9	351	1	30	31	11	4	62	0	90
ENSG00000007237	203	811	309	287	361	2615	143	100	261	809	192	336	723	330
ENSG00000007255	436	291	515	493	345	443	310	364	596	295	316	267	260	620
ENSG00000007264	118	63	108	64	103	41	18	64	153	27	29	40	20	239
ENSG00000007306	2	7967	3	1	13	179	0	2	3	830	189	31	5226	0
ENSG00000007312	21	11	41	20	50	15	10	29	77	8	2	29	7	94
ENSG00000007314	29	7	44	17	20	43	3	28	154	4	6	9	18	46
ENSG00000007341	254	223	266	234	147	156	178	130	304	237	146	139	201	141
ENSG00000007350	6	0	15	9	6	0	2	19	0	6	0	2	1	26
ENSG00000007372	0	16	7	5	1	2	0	6	0	7	5	3	137	0
ENSG00000007376	309	307	243	279	188	423	501	198	639	279	449	426	381	372
ENSG00000007384	827	1180	485	349	658	2488	1715	508	1496	1572	1316	1821	1383	306
ENSG00000007392	2528	2515	2025	1454	2341	819	1525	1874	6413	1490	3866	2296	1027	1304
ENSG00000007402	39	24	47	60	48	63	58	59	64	29	46	45	21	74
ENSG00000007516	644	358	479	750	803	2085	334	408	1407	387	1197	226	566	815
ENSG00000007520	456	435	544	531	336	572	448	426	585	413	857	463	434	741
ENSG00000007541	883	928	1070	970	566	1542	959	902	2206	958	2419	1763	990	1297
ENSG00000007545	491	477	416	356	325	456	447	429	1038	355	726	672	342	308
ENSG00000007866	1750	1315	939	1168	960	1040	604	831	1985	801	631	1063	740	461
ENSG00000007908	446	3	298	494	60	10	9	181	545	43	2	22	45	41
ENSG00000007923	824	385	739	753	557	364	368	633	703	339	261	305	392	739
ENSG00000007933	18181	642	30071	20660	9825	83	109	17667	25238	120	70	1020	85	21154
ENSG00000007944	128	407	276	274	238	589	365	110	199	519	179	389	245	295
ENSG00000007952	8	5	4	4	2	4	0	2	3	6	21	2	0	5
ENSG00000007968	15	39	23	12	22	14	30	18	21	21	23	24	48	22
ENSG00000008018	2933	801	3031	3072	2372	827	942	2562	3150	792	1094	953	921	2999
ENSG00000008056	220	19	11	60	83	62	12	75	176	36	20	34	9	13
ENSG00000008083	431	462	435	460	442	483	301	362	654	365	272	240	270	502
ENSG00000008086	203	590	446	325	214	789	806	287	142	577	190	177	530	381
ENSG00000008118	1	84	21	4	8	20	27	30	13	42	12	14	22	5
ENSG00000008128	183	36	125	120	161	43	14	81	532	54	58	111	41	91
ENSG00000008130	3810	623	3212	3720	2814	810	864	3926	4975	590	862	909	597	3099
ENSG00000008196	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ENSG00000008197	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000008226	106	27	161	72	50	65	16	296	192	55	21	52	61	341
ENSG00000008256	190	1349	329	282	270	352	623	245	602	1100	626	639	749	373
ENSG00000008277	27	152	20	31	25	41	103	33	70	376	268	82	79	48
ENSG00000008282	1088	1369	1695	1378	933	1691	1765	651	1166	1440	2616	1223	1392	1212
ENSG00000008283	371	1082	360	319	224	2011	1269	412	604	1027	1593	1036	2211	503
ENSG00000008294	2543	1787	3880	3694	3200	1357	1389	2497	2643	2223	1941	1098	2097	3146
ENSG00000008300	65	67	102	84	88	112	63	84	219	39	144	152	107	99
ENSG00000008311	2292	239	9851	4201	2483	102	384	2469	2863	414	248	201	148	3529
ENSG00000008323	138	167	87	128	117	800	296	137	153	138	255	550	512	186
ENSG00000008324	259	97	260	186	188	92	86	302	364	86	88	90	81	252
ENSG00000008382	276	181	395	544	257	357	166	331	548	127	147	137	186	768
ENSG00000008394	22682	42	25400	19358	15015	1160	1462	19518	18302	169	7709	1599	1159	16670
ENSG00000008405	860	329	1036	663	927	219	338	781	860	244	226	276	437	533
ENSG00000008438	1	4	2	52	37	1	3	4	23	1	6	4	3	2
ENSG00000008441	1457	1932	1795	1909	904	1456	780	1255	1644	2070	975	982	1653	2519
ENSG00000008513	6439	519	6544	4115	2640	1250	1195	4293	6028	824	858	4662	842	7368
ENSG00000008516	140	65	136	416	247	63	44	47	214	64	121	55	45	118
ENSG00000008517	16415	3433	6209	9886	4071	1147	3291	2317	8034	2618	3669	2287	2466	847
ENSG00000008710	2631	1708	1950	1883	2475	2953	1745	2504	4472	1872	2947	1835	1309	3447
ENSG00000008735	20	33	21	29	24	227	43	8	61	17	1	125	23	36
ENSG00000008838	1254	1086	1361	1202	1048	2077	1217	1129	2016	1072	2004	1211	1261	1742
ENSG00000008853	73	254	158	127	83	203	170	96	188	205	204	235	165	157
ENSG00000008869	1836	834	1838	1459	1329	908	931	1353	2777	729	774	716	854	1233
ENSG00000008952	5195	2204	7654	5848	4673	1214	2135	4802	6584	2351	1725	1340	1940	4608
ENSG00000008988	6006	4412	7154	6521	6378	6752	4854	6351	9953	3813	6572	3269	6166	5010
ENSG00000009307	6945	7746	11156	9663	7010	6982	8057	5954	4981	8380	7425	2941	7418	9840
ENSG00000009335	1672	1465	2236	2015	1385	1197	2225	1332	1574	1731	1328	1034	1266	1798
ENSG00000009413	814	546	1218	1382	771	326	388	545	932	435	317	241	492	724
ENSG00000009694	3837	118	3504	4084	2698	5	27	2601	1875	360	10	26	45	2385
ENSG00000009709	0	0	0	0	0	0	0	0	13	0	0	1	1	0
ENSG00000009724	9941	100	9031	8836	5536	86	100	7659	8393	60	19	256	62	6579
