	OA_002	OA_003	OA_004	ACUTE_002	ACUTE_003	ACUTE_004	SUBACUTE_002	SUBACUTE_003	SUBACUTE_004
Q8N9G6	22570	25820	21880	43360	52550	118100	38800	61980	31610
P04217	31078	33830	58385	62720	56355	33172	90572	65040	69735
P01023	13555	14370	21748	21350	34245	35745	109992	135425	49622
Q5VST6	4601	NA	NA	4529	NA	4788	5259	NA	5344
Q7Z7G0	16650	24430	28545	35965	24085	32035	44385	38190	32510
P16112	33615	74820	28790	176610	61905	93775	75450	57710	66260
P60709	73110	24288	23495	28725	35585	21022	45445	47730	34455
P68032	76880	38898	32780	30355	44222	21210	44010	43710	42960
P63261	45182	16610	20460	28792	26795	21982	40852	44618	34595
P12814	47746	11072	10899	14572	32540	10382	32050	21470	8498
Q76LX8	14790	12800	21920	37070	18580	15260	40130	32900	25470
Q6UY14	17761	15126	30806	32402	28340	17096	48533	39137	32258
Q15848	29240	30190	44940	46710	52500	28790	86500	29950	40210
P30566	32354	53080	99440	153200	90060	131100	133400	162300	117262
P43652	68578	57320	86355	69290	50460	57650	61290	53780	128200
P01019	45802	35202	63185	69862	59738	29605	105220	66620	80840
P02765	30382	24043	36942	53388	43380	31808	75660	47018	56730
P00568	14916	19971	35684	31829	17955	15861	22532	23514	37741
P02768	9811	17300	16720	18562	30670	22930	343900	162800	42630
P04075	24700	18520	21035	27395	34415	18105	30490	32890	27160
P05062	5466	4793	7761	11720	6177	4440	13060	13400	8406
Q9BYJ1	20315	14220	19245	21145	29590	19045	24915	36165	21500
P05186	NA	1798	NA	11060	NA	3337	1991	NA	1862
P02760	32105	36300	84980	39170	37660	32140	58010	45860	65080
P04746	43035	52778	69695	61180	61570	52322	63018	71395	73065
P03950	4683	5510	7436	23005	10179	7998	20260	12865	11850
P16157	4054	2054	8386	22400	6357	6347	31310	17795	10941
Q5VYY1	213400	326600	245000	354800	136300	196000	149700	217200	367200
P15144	13312	17470	16918	20018	13375	18362	28680	22798	22072
Q9H6X2	30175	37965	50000	53580	42700	48445	81940	71515	80565
P02743	186400	179400	410450	487900	309950	193100	462750	309900	358300
P02647	10620	20245	22055	28820	58040	49340	141350	110850	54875
P02652	57350	308300	142700	94375	75690	107400	191100	72220	100150
P06727	83015	147065	219800	103302	106302	60870	120225	102768	156000
P04114	57790	39075	80070	134682	69395	51705	149700	89655	101100
P02654	83072	76098	242150	357775	180500	98530	766275	149250	129325
