Gene ID	WKY.adrenals_replicate.2	SHR.adrenals_replicate.1	SHR.adrenals_replicate.2	SHR.adrenals_replicate.3	WKY.adrenals_replicate.1	WKY.adrenals_replicate.3
ENSRNOG00000048417	8.582027626	8.778767657	8.816868675	8.706045635	8.602051198	8.765113405
ENSRNOG00000048449	10.43929934	10.62375037	10.5255693	10.37705575	10.44473357	10.43123086
ENSRNOG00000048462	10.20670059	10.19739561	10.25697807	10.07120937	10.12496226	10.20327318
ENSRNOG00000048472	8.449083145	8.536183917	8.552138347	8.510000861	8.493922207	8.229506666
ENSRNOG00000048522	8.15556679	8.419601288	8.270470322	8.311660922	8.085389558	8.120847359
ENSRNOG00000048614	10.49664295	10.50017332	10.56155029	10.34049516	10.31319207	10.2560209
ENSRNOG00000048617	9.552299374	9.511735038	9.450697481	9.398962803	9.218828353	9.411492118
ENSRNOG00000048622	10.59928504	10.65126895	10.70594529	10.79253315	10.85392556	10.65135315
ENSRNOG00000048635	7.719855451	7.994333459	7.833199092	7.772843377	7.815043934	8.102545394
ENSRNOG00000048636	11.28885437	11.29244876	11.16359788	11.01021904	10.74700959	11.08198171
ENSRNOG00000048660	6.803479963	6.590701759	6.592395014	6.3270312	6.612952957	6.516550282
ENSRNOG00000048723	11.25345033	10.9817234	11.04380239	11.02503175	11.27432371	11.16621837
ENSRNOG00000048733	11.10843434	11.07131121	11.19039892	10.98472152	11.32083968	11.05974378
ENSRNOG00000048747	11.14994098	11.32435679	11.22312474	11.06077729	11.23296583	11.17387113
ENSRNOG00000048812	14.99795484	14.8800838	14.93923497	14.84250026	14.6926589	14.86966
ENSRNOG00000048874	10.14276544	10.16156111	10.17488156	10.48550425	10.11159888	10.15112227
ENSRNOG00000048961	7.21522998	7.368048238	7.352069599	7.353272303	7.325793724	7.404411531
ENSRNOG00000048967	7.388483839	7.211491365	7.538641459	7.381791861	7.211501621	7.191239362
ENSRNOG00000049033	9.675963584	9.710232876	9.446396795	9.311631735	9.751447746	9.652084712
ENSRNOG00000049054	9.205548096	9.326641372	9.310643582	9.332916769	9.345267115	9.339300327
ENSRNOG00000049056	11.32285812	11.63338133	11.42230309	11.44913224	11.54158056	11.48580701
ENSRNOG00000049074	5.769610777	5.692131407	5.63603914	5.814257458	5.673649847	5.731006993
ENSRNOG00000049075	10.01191948	9.503945242	9.657086383	9.780139838	10.0433936	10.07485591
ENSRNOG00000049092	6.635932552	6.730594553	6.839515987	6.761136009	6.767010237	6.87782497
ENSRNOG00000049110	11.76543532	11.88643366	11.80076761	11.74626279	11.65314687	11.91627447
ENSRNOG00000049115	6.903441823	6.831060958	6.814742114	6.68427224	7.022537363	6.676603941
ENSRNOG00000049151	8.082500423	8.147695418	8.159138091	8.319518914	8.016004592	8.20365563
ENSRNOG00000049171	11.59564574	11.61459184	11.40028733	11.55220902	11.5239483	11.58885942
ENSRNOG00000049181	11.75167993	11.79236896	11.83844315	11.81964993	11.63568543	11.71419083
ENSRNOG00000049200	7.202460905	7.417783942	7.337312534	7.614445868	7.213126285	7.753582532
ENSRNOG00000049345	8.283290845	8.327727701	8.269319083	8.352631345	8.253751529	8.387420555
ENSRNOG00000049361	10.05450271	9.923523539	9.802503709	9.987228598	10.07540863	9.939836004
ENSRNOG00000049402	10.42978005	10.43425672	10.53305078	10.62502977	10.69568518	10.35372229
ENSRNOG00000049410	9.879283525	9.994582856	10.03711078	10.08564128	9.900533386	9.82860389
ENSRNOG00000049437	9.757711314	10.08262548	10.3508029	10.31420202	9.833261508	9.896852018
ENSRNOG00000049464	9.510962013	9.598897585	9.345883747	9.35326585	9.565638309	9.295012225
ENSRNOG00000049498	8.428203829	8.603996006	8.503510331	8.39911049	8.422333288	8.697093146
ENSRNOG00000049515	7.81501924	7.611706164	7.597828031	7.660817866	7.629280753	7.550061178
ENSRNOG00000049530	9.335470307	9.606571421	9.437886052	9.387607858	9.087127998	9.553297684
ENSRNOG00000049531	11.34808361	11.3386684	11.37037302	11.30273823	11.45611688	11.35372015
ENSRNOG00000049537	10.25006342	9.916708018	10.23580245	10.20620267	10.12548369	10.21761109
ENSRNOG00000049560	12.44859697	11.60660834	11.2370405	11.8497846	12.3114798	11.8345741
ENSRNOG00000049580	6.891546109	7.020964121	7.081390379	6.998023853	6.850141606	7.000522575
ENSRNOG00000049604	10.90231314	10.5456542	10.65172491	10.65730584	10.80584281	10.726473
ENSRNOG00000049629	12.58196242	12.49044185	12.36158995	12.7930432	12.96922881	12.86483308
ENSRNOG00000049642	10.95045591	10.96464977	10.95340157	11.01985148	11.1035344	10.75277086
ENSRNOG00000049645	6.26103847	6.373119727	6.333355091	6.445718858	6.216706468	6.579793791
ENSRNOG00000049683	11.1512272	11.03645427	11.07565675	11.21590439	11.03907274	11.21120417
ENSRNOG00000049686	10.536886	10.45529762	10.4869839	10.39652648	10.36696157	10.31394673
