PG.ProteinAccessions	L1_000101	M1_000106	M1_000127	M1_000139	L1_000142	M1_000142	L1_000236	M1_000236	L1_000316	M1_000316	M1_000366	L2_999004	M2_999006	M2_999007	M2_999008	M2_999009	M2_999014	L2_999017	M2_999017	L2_999090	M2_999090	L2_999092	M2_999092	L2_000255	L2_999015	M2_999015
A0A075B6I0	NA	NA	NA	NA	21037.849609375	50076.625	76128.140625	23632.267578125	3053.8818359375	220718.296875	1809.78576660156	NA	754.884887695313	3374.15112304688	6926.3037109375	NA	4137.580078125	8401.5146484375	10834.7431640625	2398.21875	3328.43481445313	3011.11376953125	4920.17138671875	NA	NA	NA
A0A075B6P5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8TB73	6742.45556640625	NA	1032.54455566406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4565.2646484375	NA	3663.01123046875	1471.80615234375	NA	NA	NA	NA	6672.5234375	NA	NA
Q8TE99	6365.041015625	3094.75659179688	3987.85498046875	NA	NA	3060.29223632813	2715.5205078125	903.955078125	3471.56274414063	NA	NA	3997.29443359375	NA	NA	NA	NA	NA	13386.578125	8150.48828125	491.16455078125	3161.6572265625	3177.451171875	NA	7613.4384765625	NA	NA
Q8TEK3	122666.015625	166071.03125	2882633	188371.484375	395907.96875	1260489.75	502371.125	449190.09375	202553.25	4118078.25	63763.7421875	872060.6875	291097.3125	35873.203125	127426.4921875	46170.81640625	67551.421875	112362.4765625	30749.2109375	128134.1484375	47039.703125	98956.2734375	59901.30078125	54571.0859375	52390.203125	34139.28515625
Q8WYQ9	40705.84375	24777.283203125	NA	14760.6611328125	36558.34765625	5730.9326171875	17865.640625	8062.57373046875	16878.9140625	NA	18533.716796875	NA	NA	10131.6943359375	14768.8798828125	48894.26953125	19435.86328125	26629.322265625	29624.802734375	14650.5166015625	12786.013671875	17082.921875	4735.69482421875	38673.06640625	17760.76171875	29283.50390625
Q92522	25456.84375	2656.4072265625	60061.71875	17291.17578125	20443.37109375	32921.234375	36276.77734375	13561.068359375	5838.701171875	83234.0859375	2263.8818359375	64813.36328125	4056.33227539063	4941.4169921875	4134.822265625	12047.1396484375	9062.189453125	7829.921875	3080.3876953125	5866.36279296875	5120.412109375	7908.654296875	3999.25146484375	19089.970703125	3753.4267578125	3392.634765625
Q92597	13992.80859375	2015.45275878906	7203.099609375	NA	35234.953125	92197.5625	5206.64404296875	29302.720703125	3059.8671875	130500.84375	NA	5210.52685546875	NA	NA	1348.34191894531	NA	NA	3627.0810546875	NA	1982.10205078125	NA	NA	151.179916381836	NA	NA	2297.236328125
Q92599	4245.654296875	NA	4867.87109375	NA	4379.85107421875	7260.7548828125	3869.12817382813	264.873229980469	NA	46558.44140625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92626	1769.26940917969	6268.7109375	907.339416503906	NA	666.284729003906	763.311889648438	1437.67028808594	3058.05834960938	3358.53442382813	1746.10607910156	NA	1450.0283203125	NA	NA	NA	1584.46923828125	NA	4054.24194335938	6185.55810546875	2964.62866210938	7049.2080078125	4017.09594726563	NA	751.842651367188	NA	NA
Q92743	1596070.75	3830972.75	2405018	1200455.875	720584.25	2563619.75	2480820.5	2796007	1512073.625	2932936.75	1623545	1908253.75	167800.1875	451668.1875	384548.28125	1118996.5	743083.3125	1896406.5	1046642.125	576399.1875	946276	616682.875	909737.5	1473359.625	526734.8125	681595.3125
Q92765	175015.09375	75948.0859375	646342.6875	181378.484375	86825.0390625	97903.390625	621440.125	65275.90625	342736.59375	84781.8515625	22253.392578125	631229.875	17609.744140625	19847.03125	26609.25390625	230527.59375	28858.45703125	481372.5625	143624.671875	47219.6953125	31937.6796875	89627.46875	72440.65625	224189.15625	13777.162109375	11669.666015625
Q92841	NA	NA	2312.00561523438	NA	NA	3701.32836914063	NA	NA	NA	17566.46875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92954	47344.80859375	11479.740234375	238383.265625	43276.78125	48080.859375	43383.22265625	90508.6953125	108421.015625	60674.734375	918740.375	11666.646484375	583031.125	17685.9453125	90741.40625	33847.25	48372.953125	26179.7890625	66659.1171875	43622.80078125	22596.814453125	23404.0625	34561.9765625	20251.708984375	14005.939453125	16964.31640625	54891.421875
Q969G5	33811.8828125	3645.67114257813	56678.2578125	9236.1455078125	61990.359375	62266.0703125	30445.76953125	17443.828125	8420.4013671875	174267.09375	2722.2958984375	79576.6875	4087.03100585938	2707.4375	4174.36572265625	NA	5678.38671875	7869.15185546875	NA	5858.125	NA	5427.533203125	2973.03588867188	4914.9296875	4800.6328125	3223.50024414063
Q96C12	28169.828125	37499.953125	824998.625	67415.7578125	106527.96875	464458.21875	158712.6875	112398.875	43462.05859375	873838.9375	18845.40625	109466.46875	90395.1640625	NA	16979.8671875	NA	14667.25	23999.22265625	7176.08984375	19982.22265625	12474.083984375	18212.173828125	NA	15635.4921875	18553.171875	1011.02459716797
Q96CX2	6844.48681640625	NA	8890.822265625	NA	24017.712890625	17947.091796875	10152.8857421875	3721.26977539063	2362.2763671875	32505.87890625	179.4150390625	20564.943359375	NA	NA	1594.70581054688	NA	2782.41796875	4245.306640625	5602.224609375	2751.05859375	NA	1465.05322265625	NA	1949.65197753906	3725.69213867188	1824.96350097656
Q96D15	14100.28125	17132.142578125	26125.2578125	19576.2578125	15877.6416015625	27097.830078125	16830.25	5992.82177734375	7992.58056640625	47235.359375	37241.03125	25280.5859375	4325.70947265625	2707.5576171875	5691.259765625	4640.62548828125	8366.1259765625	2959.82104492188	NA	9453.419921875	7283.83203125	7723.84765625	7186.72802734375	5818.31494140625	NA	NA
Q96HC4	5567.04150390625	1763.07202148438	12740.7607421875	2866.859375	11613.40234375	11665.6513671875	5934.46923828125	6728.802734375	5274.236328125	38925.609375	1129.82495117188	7816.22705078125	215.31559753418	953.2431640625	1417.68688964844	NA	3326.31811523438	4087.31127929688	1087.41186523438	2980.2431640625	NA	1900.9521484375	1351.76501464844	804.838806152344	1641.70300292969	2838.99291992188
Q96IY4	24083.58203125	10110.1435546875	26242.2265625	18568.267578125	25386.517578125	90987.640625	60195.12109375	17581.33984375	4738.8916015625	53053.3984375	19232.39453125	185658.984375	6136.55517578125	27145.62890625	12380.02734375	19964.80859375	9449.21484375	82410.6328125	134733.828125	13673.2197265625	48302.07421875	29090.880859375	16017.7587890625	102606.0390625	17131.3671875	13686.677734375
Q96JB6	7782.3955078125	4437.6005859375	10036.1640625	4809.65673828125	4009.62768554688	9024.291015625	7170.9091796875	16335.734375	3185.2236328125	11658.2666015625	NA	49099.96875	NA	1931.52502441406	3312.32250976563	NA	3313.7841796875	9832.6005859375	4118.67041015625	2404.03662109375	4066.20434570313	5252.22314453125	1733.25048828125	1159.25549316406	2226.87524414063	660.684387207031
