Gene ID	wild.type.genotype_1	Hunk.knockout_2	Hunk.knockout_3	wild.type.genotype_4	wild.type.genotype_5	Hunk.knockout_6	wild.type.genotype_7	wild.type.genotype_8	Hunk.knockout_9	wild.type.genotype_10	Hunk.knockout_11	Hunk.knockout_12
ENSMUSG00000029178	9.495079305	9.294800612	9.259877773	9.524141872	9.176797399	9.13170187	9.29018982	9.243647506	9.554854126	9.179479468	9.357614238	9.38145278
ENSMUSG00000029185	6.754239661	6.980818811	6.83001015	6.820562771	6.786274152	6.813555845	6.695843881	6.832840963	6.93998757	6.705575995	6.707511229	6.985700196
ENSMUSG00000029186	7.720365387	8.473546279	8.072678133	8.224693683	7.969990103	7.992703157	8.074296171	8.315969644	8.261248554	7.999711792	8.22538403	8.233698672
ENSMUSG00000029188	8.524078213	8.431904135	8.820902083	8.608007591	8.601212046	8.571402159	8.412066243	8.590848864	9.477259001	8.443009331	8.43271426	9.295461442
ENSMUSG00000029189	4.421821265	4.959267315	4.300329532	4.372747492	4.414046266	4.265306167	4.354600442	4.402889914	4.676021759	4.391548106	4.376567018	4.335568234
ENSMUSG00000029191	8.022755986	7.522597831	7.314046656	7.364820144	7.497730342	7.889473331	7.1782828	7.566984964	7.419777343	7.63160445	7.808280922	7.124117723
ENSMUSG00000029192	7.783588481	7.520959987	7.580244425	7.598195921	7.552225918	7.587927236	7.512672336	7.540037293	7.081979093	7.470211175	7.497146336	7.480684935
ENSMUSG00000029193	4.26859733	3.944841086	4.065989315	4.17506568	4.290461921	4.299000565	4.057528944	4.04068845	4.351620854	4.2034973	4.242707379	4.150594197
ENSMUSG00000029195	6.821302574	6.507819117	6.555449049	6.682716094	6.520744868	6.654368601	6.484184616	6.572646959	6.755160683	6.495191132	6.755633779	6.703496676
ENSMUSG00000029196	7.594542154	7.805495801	7.594971204	7.669748198	7.278348081	7.209970045	7.24758104	7.444779515	7.479874274	7.141800417	7.551479389	7.472671614
