,B1_99015,B2_99015,B3_99015,B1_99090,B2_99090,B3_99090,B1_99092,B2_99092,B3_99092,B1_999006,B2_999006,B3_999006,B1_999004,B2_999004,B3_999004,B1_999008,B2_999008,B3_999008,B1_999009,B2_999009,B3_999009,B1_999007,B2_999007,B3_999007,B1_999017,B2_999017,B3_999017,B1_999014,B2_999014,B3_999014
P68371,43720.03906,2177.939453,17286.31445,2480.710205,30237.89844,84173.57813,5635.634766,6824.764648,31175.07617,8647.84668,10877.40234,98123.61719,7809.835938,6147.42334,80107.125,4831.509277,3073.311035,36918.47656,5064.506348,8688.647461,8942.436523,6328.061035,2923.77417,26441.0957,1608.703125,8461.724609,20643.46484,4782.074707,NA,42699.77344
Q71DI3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P68871,257300.8438,27418.94922,62304.35156,5533.061523,42866.89453,66519.95313,12361.80371,7292.575195,42382.16406,58276.625,53380.96094,251731.875,7175.382813,10588.46191,55743.11719,988.8936157,10733.21484,34224.08594,3301.74292,3361.331299,19270.85742,8266.512695,2498.987793,141704.6719,15211.5957,74346.88281,292714.0625,15896.53125,4972.402832,64074.28125
P69905,380260.9375,41910.75391,57555.32813,7967.761719,34931.33984,53391.61719,26960.96094,14659.57813,30240.46875,84209.45313,70618.45313,166950.5781,16128.69141,22274.36719,49083.22266,1265.295654,NA,42153.45313,7663.712402,6432.060059,26409.12891,10246.51172,2398.391846,106327.0703,24224.45703,99501.59375,286051.875,30303.83398,11177.58203,67243.19531
P78417,26451.38477,7823.584961,8881.632813,4268.386719,8926.584961,23222.51172,7726.176758,4988.625488,14170.72461,5271.899414,9417.807617,23956.19141,8304.670898,9422.584961,24737.13867,5896.133789,7388.099121,28499.34766,12081.0957,23574.45313,6712.40918,7600.169434,7454.366699,28278.97852,3872.550293,19296.0918,58228.80078,6351.079102,3744.733154,15043.77148
P80723,2057.221924,NA,2394.413574,7533.597656,NA,3847.033691,454.0803528,NA,3214.25293,1219.084839,NA,6747.124023,6809.471191,NA,5714.140625,1637.325073,NA,3341.070557,NA,NA,700.4950562,NA,276.5653992,5234.388184,626.3361206,2262.682617,6147.116211,NA,2296.367188,4670.051758
P80748,50618.56641,6314.924805,10566.42969,19091.07422,52013.1875,29105.4668,14657.57227,13219.02734,14158.55957,12919.76367,34312.85938,35405.625,16228.90527,24817.17188,46777.87109,15130.94824,27624.14453,27745.43359,20636.82227,36600.62109,3289.157959,8541.675781,7255.067383,16863.38281,22967.44141,45824.09375,31287.50977,22859.91016,11021.5459,31276.43164
P83110,36532.69531,9388.792969,3511.4021,1833.810791,2086.423828,5981.359863,NA,3640.450928,7779.346191,NA,3085.390869,NA,NA,1991.934326,1967.589844,NA,NA,202.196579,7667.624023,11784.25098,1120.479492,2501.742432,12604.33984,13313.16992,20563.21484,32030.64844,11258.77832,7214.871582,6945.88916,5293.339355
P84085,9620.932617,4553.480469,8767.750977,9189.430664,13188.03613,15997.40723,11668.45996,13836.78809,9685.199219,11720.71582,19381.16211,6097.434082,6223.077148,3836.759033,18707.41797,4689.850098,NA,17326.07031,11356.83887,11214.71387,5593.052246,4686.755371,5109.553711,10955.9668,1664.531738,10609.29102,8172.572266,12020.24512,4761.736816,16152.91309
P84098,10000.53027,2774.623535,7179.264648,3010.553711,5497.179688,15486.18945,6175.549316,4646.791016,28381.51758,4981.980469,12151.83887,23523.72266,4070.42749,9578.211914,18578.07813,5911.44873,7680.256348,46076.99609,9118.544922,19601.64258,5609.901367,7138.258789,3958.982178,20215.64453,2132.16748,11593.42578,9394.655273,4716.785156,6860.543945,13298.10742
P98095,11685.78027,2386.63501,7840.591309,669.336853,NA,32599.53906,1436.539917,453.4842529,29966.22852,86107.58594,5584.312988,65234.61719,1975.565796,1298.448364,24857.85156,631.6773682,5587.509766,117405.8516,512.7250977,6840.258789,20249.63281,1345.807617,1073.214355,38671.12891,6209.177734,6913.121094,20972.04883,1299.327026,2142.791992,23103.83203
P98160,98749.71094,15457.58789,33225.61719,8192.728516,28681.36719,86713.5625,35512.09375,46189.64453,116784.8594,60948.57813,165409.5781,173363.4375,23084.66406,77833.63281,130840.9844,42327.74609,47360.25781,203714.4688,54298.92578,163969.7031,39142.67969,24230.79102,27648.36328,127417.5469,43092.77344,89639.91406,119566.6875,46215.74219,28184.39648,100681
Q00610,NA,NA,2708.460693,NA,NA,2759.229004,5762.649414,NA,10198.13477,NA,676.9046631,11607.18262,NA,1093.977173,6834.768066,4867.296387,NA,4437.106934,NA,547.9456177,942.7297974,NA,842.0828857,2654.475342,2765.3125,791.6011353,2019.164429,NA,293.1620178,3899.418945
Q00839,11518.75586,2697.232178,9337.970703,1326.855957,3552.5354,39316.22266,2713.515625,1842.251343,18486.41406,2903.080322,9319.423828,45224.40625,2125.460693,6487.439453,23777.97266,3693.416748,2492.831055,32464.79492,6709.092773,16932.42773,7000.683594,4531.029297,2142.250244,29975.47852,295.6730347,5047.151367,21769.6582,3072.867188,2752.146484,15398.51563
Q01082,12046.85059,599.5020752,4910.961914,641.928772,3193.554443,10268.31445,NA,2776.318115,9196.601563,1662.122314,2649.307129,16890.35742,2726.958008,2180.467773,16263.86914,3912.64917,642.1438599,17760.31836,5861.641113,105024.2969,2494.580322,8120.196777,3215.070068,19820.58789,1927.155762,5427.849121,5018.302246,1696.594727,270.3425293,12133.28906
Q9BRL6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q01518,2564.423584,2876.182129,5957.580078,3745.802979,NA,4995.90918,2380.01709,NA,5756.092773,3721.493408,2720.397705,8527.935547,4488.685059,2372.317139,11147.40527,2856.440186,NA,8915.594727,4397.377441,3899.739014,3771.887695,4993.234863,1928.371704,14946.52246,952.9699707,4417.525879,6829.514648,2063.717529,2456.148682,7078.463867
Q01995,905.7842407,543.8022461,7332.308105,149.1229248,300.3470764,9940.144531,5149.040039,NA,10142.37793,NA,NA,29715.63672,559.2301636,963.6395264,15555.13477,1151.373291,454.3933105,10101.63672,NA,NA,1597.672485,717.4168701,2397.482666,15992.37207,1354.115601,4335.197754,17492.07227,122.4365082,716.9683838,16143.23633
Q02218,47841048,3394364.5,9590376,6465871,12515171,11424363,6356461.5,3638969.75,12442917,12360914,21534208,87683.875,12183995,29863854,66736.60156,16839172,4970627,21990432,44363484,58043484,6726305,24243906,3558121.25,17115222,25125340,72336.51563,14423607,122407.9453,4530.455566,20949744
