,OA_002,OA_003,OA_004,Acute_002,Acute_003,Acute_004
P04278,13265,9697,37655,26705,26905,14045
O60292,8536,10280,25660,105100,77750,117200
Q5TFQ8,43870,53690,49500,67080,40390,61140
P08195,21250,15720,24148,30092,27258,27646
Q8NB12,9654,9646,10620,24400,9615,9913
Q8TER0,25480,34304,41115,49592,32921,38085
P62314,3929,3472,3770,6255,4591,2167
P00441,22840,20720,31350,43990,28760,29760
P08294,6082,15190,9112,20930,16640,26280
P09486,86910,113200,109400,168700,256950,115100
Q14515,14335,19155,36770,29100,31910,12300
P10451,11250,10550,10710,62940,16570,32120
Q13103,21710,26375,49555,116950,56445,41615
Q96SB4,87935,27170,90670,150830,121925,75615
P81877,NA,2857,2758,2233,2317,NA
A1L4H1,12499,27950,15694,10801,6094,12272
O60279,2820,5540,4084,3464,2170,3987
Q4LDE5,NA,NA,1960,5059,2526,2008
Q8IZX4,20770,20520,10930,12050,9225,18500
P26639,17010,22050,27760,24700,25915,22235
Q86TI0,68560,125750,175150,69505,94640,69585
Q8NDG6,28080,30000,48370,82430,70850,53500
Q15582,19565,28200,26500,33780,18425,23285
P07996,12866,14265,25880,62555,87240,57230
P49746,26420,24580,29600,38120,20130,29530
P35443,14115,17688,13395,19545,18160,19565
P04216,8739,6146,8860,11430,7064,9265
Q96H15,8246,7897,14648,16558,7831,10108
P01033,16582,17270,24910,40115,34765,24330
P16035,24845,38435,40830,46395,30995,34185
P29401,14390,7549,9777,9195,10820,10400
Q9Y490,6624,3442,2120,4244,5640,3446
P24821,16670,18092,25270,45830,23375,22778
P22105,30310,28770,39910,53392,57400,43385
P60174,30160,12108,22580,14305,17190,9193
P06753,34132,28886,30400,25912,46575,11666
P62079,11530,13790,26010,21180,18310,13950
Q8NDW8,220600,248500,272050,273750,497650,367850
P02766,40380,55695,95620,73618,68262,42960
Q71U36,11490,15840,11890,11430,10990,12620
P10599,18540,16280,21790,22130,10680,11830
Q6EMK4,8941,35500,15920,12706,8508,7649
P19320,15008,13950,15102,24742,14659,14096
P13611,47915,134900,76570,147600,45670,99140
P18206,2201,2637,3695,3188,4591,2730
P08670,42058,30248,11460,10045,25630,5186
O95497,10560,4221,12190,16790,12440,6567
Q9Y279,56592,47602,59778,47450,23872,66240
P04004,46250,54460,56975,64255,69590,43410
P04275,9672,11400,13475,18200,15790,12680
P23381,NA,1655,3960,4199,4338,2521
Q86Y38,4956,5831,1928,12910,6270,13750
P31946,26900,46480,13255,22065,11045,33555
P61981,51910,73690,53390,58000,34790,50580
P63104,35120,20938,17656,24805,19782,21526
Q8NF99,NA,1574,NA,1437,NA,NA
O94892,98570,62820,166300,124900,118400,89110
